complaint_id,date,complaint_text,department,sentiment,city,priority_level,resolution_days,is_repeat_complaint,submission_channel
CMP00001,2022-04-15,Medicines not available at government dispensary for 2 weeks. Patients suffering badly.,Healthcare,Negative,Mumbai,3,38,1,online
CMP00002,2023-10-28,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Ahmedabad,3,15,1,app
CMP00003,2022-12-15,Government school has no teachers for 26 months. Children sitting idle in class.,Education,Critical/Urgent,Chennai,5,3,0,app
CMP00004,2022-02-14,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Kolkata,4,35,0,walk-in
CMP00005,2023-12-23,Water pressure is very low in our building. Third floor gets no water at all.,Water,Critical/Urgent,Mumbai,5,1,0,app
CMP00006,2023-10-13,Our colony has not received clean drinking water since 29 days. This is unacceptable.,Water,Negative,Pune,4,11,0,app
CMP00007,2023-07-01,Street lights are not working for weeks. Area is completely dark and robbery risk is high.,Electricity,Critical/Urgent,Hyderabad,5,3,1,walk-in
CMP00008,2022-02-02,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Pune,3,26,0,online
CMP00009,2022-05-27,Live wire is hanging dangerously on the road. Children are playing nearby. Very urgent!,Electricity,Neutral,Chennai,2,9,0,app
CMP00010,2023-06-06,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Negative,Kolkata,3,6,0,online
CMP00011,2023-01-26,A transformer on FC Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Kolkata,4,34,0,online
CMP00012,2022-04-25,Medicines not available at government dispensary for 23 weeks. Patients suffering badly.,Healthcare,Critical/Urgent,Chennai,5,7,0,walk-in
CMP00013,2023-10-17,Water pressure is very low in our building. Third floor gets no water at all.,Water,Negative,Hyderabad,4,10,0,phone
CMP00014,2022-04-25,Bus frequency on route 15C reduced drastically. Commuters waiting 21 hours daily.,Transport,Neutral,Pune,2,20,0,online
CMP00015,2022-05-12,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Kolkata,3,36,0,app
CMP00016,2023-02-13,Illegal parking by trucks blocking entire road near market every morning.,Transport,Neutral,Pune,2,29,1,online
CMP00017,2023-08-26,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Critical/Urgent,Hyderabad,5,1,0,online
CMP00018,2023-06-11,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Hyderabad,3,18,1,phone
CMP00019,2023-02-21,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Hyderabad,1,7,0,walk-in
CMP00020,2022-03-04,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Ahmedabad,3,22,0,phone
CMP00021,2022-07-07,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Neutral,Chennai,2,30,0,online
CMP00022,2023-02-21,Garbage dump near our society is overflowing. Rodents and mosquitoes breeding rapidly.,Sanitation,Negative,Kolkata,3,31,0,walk-in
CMP00023,2022-10-20,Water pipe has burst on MG Road and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Ahmedabad,4,45,1,phone
CMP00024,2022-02-28,Street lights are not working for weeks. Area is completely dark and robbery risk is high.,Electricity,Negative,Bengaluru,4,38,1,phone
CMP00025,2023-02-18,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Mumbai,3,37,0,online
CMP00026,2022-09-02,Bus conductor behaved very rudely with senior citizens and refused to give seat.,Transport,Negative,Chennai,4,26,0,app
CMP00027,2023-09-29,Open defecation happening near children playground due to no public toilet facility.,Sanitation,Neutral,Mumbai,2,5,0,app
CMP00028,2022-06-11,Live wire is hanging dangerously on the road. Children are playing nearby. Very urgent!,Electricity,Negative,Kolkata,4,35,0,online
CMP00029,2022-04-29,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Critical/Urgent,Mumbai,5,9,0,app
CMP00030,2022-09-15,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Bengaluru,4,6,1,app
CMP00031,2023-03-29,There is no water supply in our area for the past 12 days. Residents are suffering badly.,Water,Negative,Ahmedabad,3,36,0,online
CMP00032,2023-03-17,Water pipe has burst on MG Road and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Delhi,3,3,0,app
CMP00033,2023-11-14,Government school has no teachers for 30 months. Children sitting idle in class.,Education,Neutral,Mumbai,2,23,1,phone
CMP00034,2022-12-07,A transformer on Hosur Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Ahmedabad,3,43,0,app
CMP00035,2022-08-16,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Neutral,Hyderabad,2,30,0,app
CMP00036,2023-02-13,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Pune,2,18,0,app
CMP00037,2022-07-02,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,4,3,0,walk-in
CMP00038,2022-09-18,Road construction work started 15 months ago but still incomplete. Causing major traffic.,Roads,Neutral,Bengaluru,2,28,0,phone
CMP00039,2022-11-04,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,3,43,1,app
CMP00040,2023-11-12,Stray dogs attacking residents due to uncollected garbage attracting them near homes.,Sanitation,Neutral,Ahmedabad,2,44,0,app
CMP00041,2023-08-17,Garbage not collected for 11 days in our area. Foul smell everywhere. Health risk high.,Sanitation,Neutral,Pune,2,30,1,walk-in
CMP00042,2022-10-18,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Pune,3,6,0,app
CMP00043,2023-05-02,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Critical/Urgent,Mumbai,5,8,1,phone
CMP00044,2022-04-20,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Negative,Ahmedabad,3,15,0,walk-in
CMP00045,2023-04-21,Our colony has not received clean drinking water since 29 days. This is unacceptable.,Water,Critical/Urgent,Pune,5,8,1,walk-in
CMP00046,2023-10-15,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Chennai,5,9,1,phone
CMP00047,2022-11-24,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Negative,Mumbai,4,9,0,phone
CMP00048,2023-02-22,Public toilet near our area is extremely dirty and not maintained. Spreading disease.,Sanitation,Neutral,Pune,2,35,1,walk-in
CMP00049,2023-05-04,Our colony has not received clean drinking water since 28 days. This is unacceptable.,Water,Negative,Bengaluru,4,23,0,walk-in
CMP00050,2022-10-07,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Neutral,Ahmedabad,2,32,0,walk-in
CMP00051,2022-05-11,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Neutral,Bengaluru,2,26,0,online
CMP00052,2022-09-24,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Ahmedabad,5,6,0,walk-in
CMP00053,2022-09-16,Road construction work started 26 months ago but still incomplete. Causing major traffic.,Roads,Neutral,Mumbai,2,31,0,online
CMP00054,2022-09-11,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Hyderabad,3,2,0,phone
CMP00055,2023-04-22,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Chennai,5,6,0,online
CMP00056,2023-08-13,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Negative,Ahmedabad,4,26,0,online
CMP00057,2023-08-03,No bus shelter on main road stop. Commuters standing in rain and hot sun daily.,Transport,Neutral,Bengaluru,2,23,1,app
CMP00058,2022-04-19,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Neutral,Ahmedabad,2,24,1,phone
CMP00059,2023-04-22,Public toilet near our area is extremely dirty and not maintained. Spreading disease.,Sanitation,Neutral,Ahmedabad,2,38,0,app
CMP00060,2022-09-07,No drinking water available in government school. Children going thirsty all day.,Education,Critical/Urgent,Kolkata,5,10,1,app
CMP00061,2022-08-06,We have been submitting water shortage complaints for months but no action has been taken.,Water,Neutral,Pune,2,17,0,app
CMP00062,2022-09-05,Bus driver overspeeding dangerously. Narrowly missed accident with school children today.,Transport,Negative,Ahmedabad,3,32,0,walk-in
CMP00063,2022-08-15,Long waiting queues at government hospital. Patients waiting since morning without help.,Healthcare,Critical/Urgent,Ahmedabad,5,4,0,app
CMP00064,2022-10-05,Open defecation happening near children playground due to no public toilet facility.,Sanitation,Neutral,Chennai,2,17,0,online
CMP00065,2022-08-10,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Kolkata,3,18,0,online
CMP00066,2022-11-06,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Bengaluru,2,35,0,app
CMP00067,2023-10-16,There is no water supply in our area for the past 19 days. Residents are suffering badly.,Water,Critical/Urgent,Kolkata,5,2,0,app
CMP00068,2023-05-05,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Negative,Mumbai,4,5,1,walk-in
CMP00069,2022-09-12,There is no water supply in our area for the past 6 days. Residents are suffering badly.,Water,Negative,Mumbai,3,36,1,phone
CMP00070,2022-11-09,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Critical/Urgent,Bengaluru,5,10,0,phone
CMP00071,2023-07-20,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Mumbai,3,11,0,walk-in
CMP00072,2023-12-25,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Critical/Urgent,Chennai,5,8,0,phone
CMP00073,2023-10-26,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Neutral,Delhi,2,18,0,online
CMP00074,2022-05-08,Water pipe has burst on Anna Salai and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Kolkata,4,45,0,walk-in
CMP00075,2022-11-27,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Negative,Chennai,4,2,0,phone
CMP00076,2022-06-29,Government hospital has no doctors available on most days. Patients turned away.,Healthcare,Critical/Urgent,Kolkata,5,9,1,app
CMP00077,2022-12-23,No electricity for 22 hours during peak summer. Elderly patients are in critical condition.,Electricity,Neutral,Ahmedabad,2,22,0,online
CMP00078,2022-10-23,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Critical/Urgent,Ahmedabad,5,9,0,walk-in
CMP00079,2023-06-11,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Neutral,Bengaluru,2,43,1,walk-in
CMP00080,2023-10-03,Our colony has not received clean drinking water since 18 days. This is unacceptable.,Water,Neutral,Kolkata,2,4,0,app
CMP00081,2022-05-05,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Bengaluru,1,41,0,phone
CMP00082,2022-04-27,Road on FC Road has huge potholes for months. Two-wheeler accidents happening daily.,Roads,Neutral,Kolkata,2,8,0,walk-in
CMP00083,2022-09-07,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Negative,Kolkata,4,36,0,walk-in
CMP00084,2022-12-15,A transformer on Brigade Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Neutral,Chennai,2,1,0,app
CMP00085,2022-12-20,School admission process very corrupt. Poor families being asked for illegal donations.,Education,Critical/Urgent,Pune,5,9,1,walk-in
CMP00086,2022-08-28,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Neutral,Ahmedabad,2,3,0,walk-in
CMP00087,2022-05-10,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Pune,5,2,1,online
CMP00088,2023-04-26,Traffic signal at main junction not working for days causing major accidents daily.,Transport,Negative,Chennai,3,22,1,online
CMP00089,2023-07-09,Teacher absent without any substitute for 29 days. No learning happening for children.,Education,Critical/Urgent,Bengaluru,5,10,0,phone
CMP00090,2023-10-11,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Critical/Urgent,Mumbai,5,8,0,app
CMP00091,2023-03-18,There is no water supply in our area for the past 12 days. Residents are suffering badly.,Water,Negative,Delhi,4,16,1,phone
CMP00092,2023-05-25,A transformer on FC Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Critical/Urgent,Delhi,5,4,1,app
CMP00093,2022-10-22,Stray dogs attacking residents due to uncollected garbage attracting them near homes.,Sanitation,Neutral,Delhi,2,5,1,app
CMP00094,2023-04-13,Bus driver overspeeding dangerously. Narrowly missed accident with school children today.,Transport,Neutral,Chennai,2,13,1,walk-in
CMP00095,2022-01-23,Our colony has not received clean drinking water since 14 days. This is unacceptable.,Water,Negative,Ahmedabad,4,18,0,online
