complaint_id,date,complaint_text,department,sentiment,city,priority_level,resolution_days,is_repeat_complaint,submission_channel,cleaned_text,processed_text,lemmatized_text,token_count,has_urgent_word,exclamation_count
CMP00001,2022-04-15,Medicines not available at government dispensary for 2 weeks. Patients suffering badly.,Healthcare,Negative,Mumbai,3,38,1,online,medicines not available at government dispensary for weeks patients suffering badly,medicines not available government dispensary weeks patients suffering badly,medicine not available government dispensary week patient suffering badly,11,0,0
CMP00002,2023-10-28,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Ahmedabad,3,15,1,app,the water coming from the tap is extremely dirty and has a foul smell children are falling sick,water coming tap extremely dirty foul smell children falling sick,water coming tap extremely dirty foul smell child falling sick,18,0,0
CMP00003,2022-12-15,Government school has no teachers for 26 months. Children sitting idle in class.,Education,Critical/Urgent,Chennai,5,3,0,app,government school has no teachers for months children sitting idle in class,government school no teachers months children sitting idle class,government school no teacher month child sitting idle class,12,0,0
CMP00004,2022-02-14,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Kolkata,4,35,0,walk-in,the water coming from the tap is extremely dirty and has a foul smell children are falling sick,water coming tap extremely dirty foul smell children falling sick,water coming tap extremely dirty foul smell child falling sick,18,0,0
CMP00005,2023-12-23,Water pressure is very low in our building. Third floor gets no water at all.,Water,Critical/Urgent,Mumbai,5,1,0,app,water pressure is very low in our building third floor gets no water at all,water pressure low building third floor gets no water,water pressure low building third floor get no water,15,0,0
CMP00006,2023-10-13,Our colony has not received clean drinking water since 29 days. This is unacceptable.,Water,Negative,Pune,4,11,0,app,our colony has not received clean drinking water since days this is unacceptable,colony not received clean drinking water since days unacceptable,colony not received clean drinking water since day unacceptable,13,0,0
CMP00007,2023-07-01,Street lights are not working for weeks. Area is completely dark and robbery risk is high.,Electricity,Critical/Urgent,Hyderabad,5,3,1,walk-in,street lights are not working for weeks area is completely dark and robbery risk is high,street lights not working weeks area completely dark robbery risk high,street light not working week area completely dark robbery risk high,16,0,0
CMP00008,2022-02-02,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Pune,3,26,0,online,road cave in near school gate is very dangerous for children needs immediate attention,road cave near school gate dangerous children needs immediate attention,road cave near school gate dangerous child need immediate attention,14,1,0
CMP00009,2022-05-27,Live wire is hanging dangerously on the road. Children are playing nearby. Very urgent!,Electricity,Neutral,Chennai,2,9,0,app,live wire is hanging dangerously on the road children are playing nearby very urgent,live wire hanging dangerously road children playing nearby urgent,live wire hanging dangerously road child playing nearby urgent,14,1,1
CMP00010,2023-06-06,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Negative,Kolkata,3,6,0,online,hospital building in very poor condition ceiling leaking on patients during rains,hospital building poor condition ceiling leaking patients rains,hospital building poor condition ceiling leaking patient rain,12,0,0
